comparison,control,candidate,split,pathway,metric,control_value,candidate_value,delta_candidate_better
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Oxidative_Phosphorylation,pcc,0.7736800144520635,0.760693200701128,-0.012986813750935466
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Oxidative_Phosphorylation,ccc,0.7114113808854249,0.7335026470644572,0.022091266179032343
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Oxidative_Phosphorylation,z_rmse,0.4192016203657115,0.4122217637973512,0.00697985656836031
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Oxidative_Phosphorylation,ssim,0.5230690570135895,0.4952177831632784,-0.02785127385031111
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Oxidative_Phosphorylation,abs_moran_delta,0.12618269566802243,0.1413797785438793,-0.01519708287585686
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Reactive_Oxygen_Species,pcc,0.23871730839329935,0.19459961426917283,-0.04411769412412653
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Reactive_Oxygen_Species,ccc,0.13309482050218271,0.1026389973931242,-0.03045582310905852
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Reactive_Oxygen_Species,z_rmse,0.9187160878099023,0.9482296513236689,-0.02951356351376655
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Reactive_Oxygen_Species,ssim,0.10900465556439042,0.0720333074981801,-0.036971348066210316
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Reactive_Oxygen_Species,abs_moran_delta,0.02396106421763522,0.0011279290143720866,0.022833135203263133
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Wound_Healing,pcc,0.6317085154538686,0.6129611285316596,-0.01874738692220901
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Wound_Healing,ccc,0.5914561697681517,0.5865536263949861,-0.0049025433731656465
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Wound_Healing,z_rmse,0.5372560167392205,0.5258053392988828,0.011450677440337675
