experiment,arm,evidence_status,split,comparison_split,metric,mean,median,q1,q3,iqr,min,max,valid_pathways,baseline,fbr_mean,delta_candidate_better,delta_definition
lora_s1,S1,accepted_smoke,external_test,external_xzy,ssim,0.292028829947055,0.2578413486436244,0.1698649274024738,0.44373125683617604,0.27386632943370226,-0.11481842379739707,0.6809370742481314,30,w007_fbr,0.3093753110282321,-0.017346481081177145,candidate_mean-FBR_mean (positive=candidate_better)
lora_s1,S1,accepted_smoke,external_test,external_xzy,z_mae,0.6339214929973838,0.6287065179117902,0.4337604856887873,0.7669893354483637,0.3332288497595764,0.1876907655319538,1.1415865169799329,30,w007_fbr,0.6191226720887658,-0.014798820908617949,FBR_mean-candidate_mean (positive=candidate_better)
lora_s1,S1,accepted_smoke,external_test,external_xzy,z_rmse,0.7841854970168228,0.7620462164554379,0.5466050911450381,0.9417265320747661,0.395121440929728,0.389506905408602,1.4550158557313744,30,w007_fbr,0.7672245654708524,-0.016960931545970448,FBR_mean-candidate_mean (positive=candidate_better)
w007_cpgcr,CPGCR,accepted,XZY,external_xzy,abs_moran_delta,0.10576249735883331,0.08954516274679486,0.040952286484011835,0.14835489349989012,0.10740260701587828,0.0016527525253851594,0.34691142681565434,30,w007_fbr,0.10762428980820607,0.0018617924493727622,FBR_mean-candidate_mean (positive=candidate_better)
w007_cpgcr,CPGCR,accepted,XZY,external_xzy,ccc,0.3992760249315292,0.3885785436744341,0.30058307469191015,0.5079487203061382,0.2073656456142281,0.06376838666874911,0.7467250237996377,30,w007_fbr,0.3988582103332689,0.000417814598260291,candidate_mean-FBR_mean (positive=candidate_better)
w007_cpgcr,CPGCR,accepted,XZY,external_xzy,nrmse_sigma_train,0.7656609435543505,0.7253318822702428,0.5400464104954941,0.9104611065070239,0.3704146960115299,0.37734243261604944,1.4377269251449265,30,w007_fbr,0.7672245654708524,0.001563621916501834,FBR_mean-candidate_mean (positive=candidate_better)
w007_cpgcr,CPGCR,accepted,XZY,external_xzy,pcc,0.5189825814661151,0.5556376968538135,0.38978119375251535,0.6371278963607375,0.24734670260822217,0.18270118217359788,0.7820776602628036,30,w007_fbr,0.519386206636611,-0.0004036251704958582,candidate_mean-FBR_mean (positive=candidate_better)
w007_cpgcr,CPGCR,accepted,XZY,external_xzy,raw_mae,1173.9017809544966,1118.7316643753697,867.5484681855282,1363.2687393651568,495.7202711796285,409.33565433341823,2039.2558877063639,30,w007_fbr,1176.211373424824,2.3095924703272885,FBR_mean-candidate_mean (positive=candidate_better)
w007_cpgcr,CPGCR,accepted,XZY,external_xzy,raw_r2,-0.08011925888060413,0.06927416289083133,-0.2886394400507578,0.2566651429686505,0.5453045830194083,-2.442089358268077,0.6039814908251633,30,w007_fbr,-0.08801664134310691,0.00789738246250278,candidate_mean-FBR_mean (positive=candidate_better)
w007_cpgcr,CPGCR,accepted,XZY,external_xzy,ssim,0.3106014486243962,0.26112082378598755,0.17802245940788414,0.4611670792011935,0.28314461979330935,-0.08100565361786659,0.7093845543839509,30,w007_fbr,0.3093753110282321,0.0012261375961640786,candidate_mean-FBR_mean (positive=candidate_better)
