mode,pathway,lambda,slope_k,intercept_z_b,intercept_raw_b,baseline_raw_r2,calibrated_raw_r2,delta_raw_r2,baseline_pcc,calibrated_pcc,delta_pcc,pcc_changed,pcc_sign_flipped,baseline_raw_mae,calibrated_raw_mae,delta_raw_mae,fallback_reason
Mode_A1_Pure_OLS_Unconstrained,TNF_Signaling,0.0,0.9664392619325881,0.017443349089482908,38.17753080404746,-0.27495764543330403,-0.26156111350831956,0.013396531924984467,0.30415236445966204,0.30415236445966204,0.0,False,False,1355.917856850023,1348.5537572823657,-7.364099567657377,none
Mode_A1_Pure_OLS_Unconstrained,ECM_Organization,0.0,1.0212350868144853,-0.005214861272742446,-16.52744923074869,0.5321936693862169,0.5260333300017868,-0.006160339384430169,0.7352796536234459,0.7352796536234459,0.0,False,False,1078.2276831469892,1081.9106592659348,3.6829761189455894,none
Mode_A2_Positive_OLS_Unconstrained,tls,0.0,0.998616298121453,0.042932961950645776,67.88844365615415,0.38636895043839303,0.3897639928440316,0.003395042405638593,0.6639869497301302,0.6639869497301297,-4.440892098500626e-16,False,False,1178.2267359477232,1193.0782383556977,14.851502407974522,none
Mode_A2_Positive_OLS_Unconstrained,tgfb,0.0,1.039655056872022,0.023718604248312777,40.17246788824714,0.08320535300564746,0.1315732079025963,0.048367854896948836,0.43903472678560207,0.4390347267856021,5.551115123125783e-17,False,False,847.5146751116737,813.7522242777662,-33.76245083390745,none
Mode_A2_Positive_OLS_Unconstrained,emt,0.0,0.9618404807278496,-0.007362260139156017,-15.81827581539359,0.17257837188166636,0.22629898091207268,0.05372060903040632,0.5918671407677207,0.5918671407677207,0.0,False,False,869.8545799863355,836.9097850551058,-32.944794931229694,none
Mode_A2_Positive_OLS_Unconstrained,hypoxia,0.0,0.9861132014426517,-0.0646412493545796,-162.4289017803264,0.039634188679637194,0.029535629361951088,-0.010098559317686107,0.3555700616231422,0.35557006162314214,-5.551115123125783e-17,False,False,1143.814110590295,1149.5740757505278,5.759965160232696,none
Mode_A2_Positive_OLS_Unconstrained,mhc,0.0,0.9512065790610569,-0.016716583830363438,-36.925987382957395,0.2183545347561041,0.2450201775962899,0.0266656428401858,0.5032254594953265,0.5032254594953265,0.0,False,False,425.56124414744147,391.29063909380056,-34.27060505364091,none
Mode_A2_Positive_OLS_Unconstrained,icp,0.0,0.8933074691433467,-0.032686808947624546,-49.58152636924479,-0.307725356548999,-0.29469363846158303,0.013031718087415989,0.3058410761141342,0.3058410761141343,1.1102230246251565e-16,False,False,1726.5154009248738,1717.228874749823,-9.286526175050767,none
Mode_A2_Positive_OLS_Unconstrained,ifng,0.0,0.9145788670875151,0.010314953500865217,29.94553877537748,-0.3741041801445575,-0.3432254355242088,0.030878744620348675,0.15060565879049492,0.15060565879049503,1.1102230246251565e-16,False,False,1845.3599149908255,1823.665073220464,-21.694841770361563,none
Mode_A2_Positive_OLS_Unconstrained,toxic,0.0,1.0438376440795756,0.002758011486976884,5.28992759223846,0.11746255396386518,0.1053746436070424,-0.012087910356822773,0.3802570834244679,0.38025708342446785,-5.551115123125783e-17,False,False,1594.8491520268567,1595.5344072422988,0.6852552154421119,none
Mode_A2_Positive_OLS_Unconstrained,Glycolysis,0.0,0.9960395363916067,-0.00345661213929803,-6.0071857119418475,-0.40584123842597597,-0.4236068815187888,-0.01776564309281281,0.6073809749322644,0.6073809749322643,-1.1102230246251565e-16,False,False,1029.8651051785666,1038.118310198593,8.253205020026371,none
Mode_A2_Positive_OLS_Unconstrained,Inflammatory_Response,0.0,1.0016127800768464,0.024085237979500566,46.03794087256336,0.19196587971703183,0.1913535512171597,-0.000612328499872139,0.44890641590390523,0.44890641590390495,-2.7755575615628914e-16,False,False,1348.6907257231373,1353.811864455494,5.121138732356712,none
Mode_A2_Positive_OLS_Unconstrained,IL6_JAK_STAT3,0.0,0.9835388587983783,0.02189211720043954,43.06646786933439,-0.32629065674481916,-0.2981026085726395,0.02818804817217968,0.5584903307397227,0.5584903307397228,1.1102230246251565e-16,False,False,1215.704886519293,1199.8185159303885,-15.886370588904583,none
Mode_A2_Positive_OLS_Unconstrained,P53_Pathway,0.0,1.020399565288137,-0.01782062765850005,-29.884183363431973,-0.2763090352977946,-0.2778073506349681,-0.0014983153371734836,0.5617481612020473,0.5617481612020474,1.1102230246251565e-16,False,False,1205.826915503647,1205.1666696013467,-0.6602459023001757,none
Mode_A2_Positive_OLS_Unconstrained,DNA_Damage_Response,0.0,1.0059190960746178,0.03136234533340768,46.118434501304804,-0.16611754532726208,-0.1112434665943598,0.05487407873290229,0.5041214406174792,0.5041214406174793,1.1102230246251565e-16,False,False,1078.323425727204,1048.5075928053004,-29.81583292190362,none
Mode_A2_Positive_OLS_Unconstrained,Complement,0.0,0.9834265447212476,-0.033795748375995235,-59.06359273733686,-1.694794006752065,-1.8145356518831948,-0.11974164513112973,0.36128576791316236,0.3612857679131625,1.6653345369377348e-16,False,False,2058.585426103899,2111.85212240441,53.26669630051083,none
Mode_A2_Positive_OLS_Unconstrained,Coagulation,0.0,1.0007390150582804,-0.04729166763602644,-47.018318603484474,0.1324687726026994,0.12350566688436271,-0.008963105718336695,0.4286053226972293,0.4286053226972294,1.1102230246251565e-16,False,False,553.1261609417287,557.3589707207339,4.2328097790051515,none
Mode_A2_Positive_OLS_Unconstrained,Oxidative_Phosphorylation,0.0,0.9790190348073305,0.015069898280658817,36.65231491641952,0.6128963380644099,0.6113805647162156,-0.0015157733481943048,0.7854307111791455,0.7854307111791452,-3.3306690738754696e-16,False,False,702.5372076749677,702.298694585207,-0.23851308976065866,none
Mode_A2_Positive_OLS_Unconstrained,Reactive_Oxygen_Species,0.0,0.9573405903549125,0.015026657161911414,17.03324105348926,-0.5280710591823379,-0.554512879823245,-0.026441820640907165,0.28059079569286816,0.28059079569286827,1.1102230246251565e-16,False,False,855.5255749528155,866.7611796436375,11.235604690822015,none
Mode_A2_Positive_OLS_Unconstrained,Wound_Healing,0.0,1.0194458808105578,-0.0005397763266441254,-1.0799454245598283,0.336362170261597,0.34022110677176487,0.0038589365101678874,0.6335773292191307,0.6335773292191307,0.0,False,False,808.9291361452321,805.4103253390642,-3.518810806167835,none
Mode_A2_Positive_OLS_Unconstrained,Fibrosis,0.0,1.023385834986248,-0.005749895065125311,-15.959143352954715,0.512135037285919,0.5121213810033503,-1.3656282568774714e-05,0.7206142753278977,0.7206142753278978,1.1102230246251565e-16,False,False,1077.3604235216903,1071.7066704770239,-5.653753044666473,none
Mode_A2_Positive_OLS_Unconstrained,MYC_Targets,0.0,1.017465123552587,-0.013111754604061922,-41.48182756235886,0.4073893825920357,0.4089883704285542,0.0015989878365184618,0.7729682828699457,0.7729682828699458,1.1102230246251565e-16,False,False,982.4016059364344,974.9812827548653,-7.420323181569074,none
Mode_A2_Positive_OLS_Unconstrained,E2F_Targets,0.0,1.0252967988172412,-0.010017163157749044,-20.289254026447228,0.0011873488603014737,0.017670786403744643,0.01648343754344317,0.6338882302821978,0.633888230282198,2.220446049250313e-16,False,False,1229.8409829246207,1213.4181894470487,-16.422793477571986,none
Mode_A2_Positive_OLS_Unconstrained,G2M_Checkpoint,0.0,1.0126758944477023,-0.0030806648142768876,-6.631200043750801,-0.19134676819013885,-0.1768260297206623,0.014520738469476546,0.6742574845520563,0.6742574845520561,-1.1102230246251565e-16,False,False,1899.2600324743275,1882.99218544576,-16.26784702856753,none
Mode_A2_Positive_OLS_Unconstrained,Mitotic_Spindle,0.0,1.030854585730558,0.011330837826052525,20.910181456576943,-0.09960305101121492,-0.043296879692926726,0.05630617131828819,0.6354781658498121,0.6354781658498119,-2.220446049250313e-16,False,False,1540.587489113689,1490.8449633777848,-49.74252573590411,none
Mode_A2_Positive_OLS_Unconstrained,Unfolded_Protein_Response,0.0,1.0130690806417895,-0.029080913252064033,-55.91272901673413,0.13969131721038708,0.11649653197134002,-0.023194785239047055,0.6025634370370726,0.6025634370370726,0.0,False,False,1008.6035752670011,1026.8023423585314,18.19876709153027,none
Mode_A2_Positive_OLS_Unconstrained,mTOR_Signaling,0.0,1.0001150175451161,-0.002873079511443634,-5.176901993735672,0.3904013826778301,0.38851597956326256,-0.0018854031145675298,0.6623655704256954,0.6623655704256954,0.0,False,False,735.0332123827197,736.4730304922896,1.439818109569842,none
Mode_A2_Positive_OLS_Unconstrained,Interferon_Alpha,0.0,0.9857283705739496,0.013037340574143306,24.261420059737766,-2.6751053783419865,-2.577025604256586,0.09807977408540047,0.21723214005805577,0.21723214005805577,0.0,False,False,1904.6700871651312,1877.4946659177933,-27.17542124733791,none
Mode_A2_Positive_OLS_Unconstrained,Angiogenesis,0.0,0.9978927782360708,-0.008305142064304098,-14.675912242646332,0.3150827482024734,0.3199192996165775,0.004836551414104107,0.6370193712361416,0.6370193712361414,-2.220446049250313e-16,False,False,1218.0562699419245,1212.352578252349,-5.7036916895754075,none
Mode_A2_Positive_OLS_Unconstrained,Apoptosis,0.0,0.9572999899905743,0.05028857624313085,78.56422393553412,0.0903887225938309,0.1110020198014845,0.02061329720765359,0.4252418134504551,0.4252418134504551,0.0,False,False,767.5715575665446,757.0762966155177,-10.495260951026921,none
Mode_A2_Positive_OLS_Unconstrained,TNF_Signaling,0.0,0.9664392619325881,0.017443349089482908,38.17753080404746,-0.27495764543330403,-0.26156111350831956,0.013396531924984467,0.30415236445966204,0.30415236445966204,0.0,False,False,1355.917856850023,1348.5537572823657,-7.364099567657377,none
Mode_A2_Positive_OLS_Unconstrained,ECM_Organization,0.0,1.0212350868144853,-0.005214861272742446,-16.52744923074869,0.5321936693862169,0.5260333300017868,-0.006160339384430169,0.7352796536234459,0.7352796536234459,0.0,False,False,1078.2276831469892,1081.9106592659348,3.6829761189455894,none
Mode_B_Pathway_Specific_Lambda,tls,1.0,0.9966379588880256,0.02122755319417844,33.566413392060916,0.38636895043839303,0.3880006925714439,0.0016317421330508397,0.6639869497301302,0.6639869497301298,-3.3306690738754696e-16,False,False,1178.2267359477232,1186.6187501460997,8.3920141983765,none
Mode_B_Pathway_Specific_Lambda,tgfb,10.0,1.0025543121713425,0.0026975261025595095,4.56883042519203,0.08320535300564746,0.08795640280300299,0.004751049797355522,0.43903472678560207,0.43903472678560207,0.0,False,False,847.5146751116737,844.2986700646222,-3.2160050470514534,none
Mode_B_Pathway_Specific_Lambda,emt,10.0,0.9973804456021951,-0.0010969520297038672,-2.3568699603299743,0.17257837188166636,0.1773354667698711,0.004757094888204749,0.5918671407677207,0.5918671407677208,1.1102230246251565e-16,False,False,869.8545799863355,867.0315774961425,-2.8230024901929482,none
Mode_B_Pathway_Specific_Lambda,hypoxia,1.0,0.9921606900438477,-0.03273094887613865,-82.24550319280856,0.039634188679637194,0.03842752962278584,-0.0012066590568513558,0.3555700616231422,0.35557006162314214,-5.551115123125783e-17,False,False,1143.814110590295,1143.2269053115506,-0.5872052787444773,none
Mode_B_Pathway_Specific_Lambda,mhc,1.0,0.9853102096034247,-0.01084838420943518,-23.963466609455484,0.2183545347561041,0.2320352639160388,0.01368072915993468,0.5032254594953265,0.5032254594953265,0.0,False,False,425.56124414744147,410.13053188790326,-15.430712259538211,none
Mode_B_Pathway_Specific_Lambda,icp,10.0,0.9945780086769422,-0.0030530679298195404,-4.631096547601173,-0.307725356548999,-0.30833260337536683,-0.0006072468263678132,0.3058410761141342,0.30584107611413425,5.551115123125783e-17,False,False,1726.5154009248738,1726.9183283743805,0.40292744950670567,none
Mode_B_Pathway_Specific_Lambda,ifng,1.0,0.9667157415711805,0.002701507836615467,7.842799065121222,-0.3741041801445575,-0.3635274462165681,0.010576733927989412,0.15060565879049492,0.15060565879049495,2.7755575615628914e-17,False,False,1845.3599149908255,1838.0331431443271,-7.326771846498332,none
Mode_B_Pathway_Specific_Lambda,toxic,10.0,1.0024980385611424,-1.918156502643573e-06,-0.0036790669862974746,0.11746255396386518,0.11679527547279245,-0.0006672784910727314,0.3802570834244679,0.3802570834244678,-1.1102230246251565e-16,False,False,1594.8491520268567,1594.789417371767,-0.05973465508964182,none
Mode_B_Pathway_Specific_Lambda,Glycolysis,10.0,0.9996695215326614,-0.0003819115483378807,-0.663717392622134,-0.40584123842597597,-0.40759235907697033,-0.0017511206509943644,0.6073809749322644,0.6073809749322644,0.0,False,False,1029.8651051785666,1030.6727561757511,0.8076509971845098,none
Mode_B_Pathway_Specific_Lambda,Inflammatory_Response,10.0,1.0002587246447079,0.0021982617294463215,4.20188679924213,0.19196587971703183,0.19194490285722166,-2.0976859810173387e-05,0.44890641590390523,0.448906415903905,-2.220446049250313e-16,False,False,1348.6907257231373,1349.126135140858,0.4354094177206207,none
Mode_B_Pathway_Specific_Lambda,IL6_JAK_STAT3,10.0,0.9993012003903323,0.0017020015522382548,3.3482003815306816,-0.32629065674481916,-0.3231059567951251,0.0031846999496940587,0.5584903307397227,0.5584903307397227,0.0,False,False,1215.704886519293,1213.861586675143,-1.843299844150124,none
