pathway,Mode_A1_Pure_OLS_Unconstrained_k,Mode_A1_Pure_OLS_Unconstrained_pcc,Mode_A1_Pure_OLS_Unconstrained_delta_pcc,Mode_A1_Pure_OLS_Unconstrained_pcc_changed,Mode_A2_Positive_OLS_Unconstrained_k,Mode_A2_Positive_OLS_Unconstrained_pcc,Mode_A2_Positive_OLS_Unconstrained_delta_pcc,Mode_A2_Positive_OLS_Unconstrained_pcc_changed,Mode_B_Pathway_Specific_Lambda_k,Mode_B_Pathway_Specific_Lambda_pcc,Mode_B_Pathway_Specific_Lambda_delta_pcc,Mode_B_Pathway_Specific_Lambda_pcc_changed,Mode_C_Lambda_0.0001_k,Mode_C_Lambda_0.0001_pcc,Mode_C_Lambda_0.0001_delta_pcc,Mode_C_Lambda_0.0001_pcc_changed,Mode_C_Lambda_0.01_k,Mode_C_Lambda_0.01_pcc,Mode_C_Lambda_0.01_delta_pcc,Mode_C_Lambda_0.01_pcc_changed,Mode_C_Lambda_0.1_k,Mode_C_Lambda_0.1_pcc,Mode_C_Lambda_0.1_delta_pcc,Mode_C_Lambda_0.1_pcc_changed,Mode_C_Lambda_1.0_k,Mode_C_Lambda_1.0_pcc,Mode_C_Lambda_1.0_delta_pcc,Mode_C_Lambda_1.0_pcc_changed,Mode_C_Lambda_10.0_k,Mode_C_Lambda_10.0_pcc,Mode_C_Lambda_10.0_delta_pcc,Mode_C_Lambda_10.0_pcc_changed
IL6_JAK_STAT3,0.9835388587983783,0.5584903307397228,1.1102230246251565e-16,False,0.9835388587983783,0.5584903307397228,1.1102230246251565e-16,False,0.9993012003903323,0.5584903307397227,0.0,False,0.9835420170579549,0.5584903307397224,-2.220446049250313e-16,False,0.9838491945113851,0.5584903307397224,-2.220446049250313e-16,False,0.9862167417122356,0.5584903307397224,-2.220446049250313e-16,False,0.9946427553727119,0.5584903307397225,-1.1102230246251565e-16,False,0.9993012003903323,0.5584903307397227,0.0,False
P53_Pathway,1.020399565288137,0.5617481612020474,1.1102230246251565e-16,False,1.020399565288137,0.5617481612020474,1.1102230246251565e-16,False,1.0009972728383174,0.5617481612020478,5.551115123125783e-16,False,1.0203958480650552,0.5617481612020476,3.3306690738754696e-16,False,1.0200342189530387,0.5617481612020473,0.0,False,1.0172400647690523,0.5617481612020475,2.220446049250313e-16,False,1.0070743201357852,0.5617481612020476,3.3306690738754696e-16,False,1.0009972728383174,0.5617481612020478,5.551115123125783e-16,False
DNA_Damage_Response,1.0059190960746178,0.5041214406174793,1.1102230246251565e-16,False,1.0059190960746178,0.5041214406174793,1.1102230246251565e-16,False,1.0008439632526693,0.5041214406174793,1.1102230246251565e-16,False,1.0059189475332224,0.5041214406174791,-1.1102230246251565e-16,False,1.0059038504480142,0.5041214406174793,1.1102230246251565e-16,False,1.0057393622528819,0.5041214406174793,1.1102230246251565e-16,False,1.0039524717963904,0.5041214406174793,1.1102230246251565e-16,False,1.0008439632526693,0.5041214406174793,1.1102230246251565e-16,False
Complement,0.9834265447212476,0.3612857679131625,1.6653345369377348e-16,False,0.9834265447212476,0.3612857679131625,1.6653345369377348e-16,False,0.9982113548133289,0.3612857679131624,5.551115123125783e-17,False,0.9834278456675085,0.36128576791316264,2.7755575615628914e-16,False,0.983555741746027,0.36128576791316247,1.1102230246251565e-16,False,0.9846411024151824,0.3612857679131625,1.6653345369377348e-16,False,0.9908514726017424,0.3612857679131626,2.220446049250313e-16,False,0.9982113548133289,0.3612857679131624,5.551115123125783e-17,False
Coagulation,1.0007390150582804,0.4286053226972294,1.1102230246251565e-16,False,1.0007390150582804,0.4286053226972294,1.1102230246251565e-16,False,1.0003115931334277,0.4286053226972295,2.220446049250313e-16,False,1.0007393645429368,0.42860532269722934,5.551115123125783e-17,False,1.000773015113319,0.42860532269722934,5.551115123125783e-17,False,1.0010071613331448,0.4286053226972294,1.1102230246251565e-16,False,1.0012240003247157,0.4286053226972293,0.0,False,1.0003115931334277,0.4286053226972295,2.220446049250313e-16,False
Oxidative_Phosphorylation,0.9790190348073305,0.7854307111791452,-3.3306690738754696e-16,False,0.9790190348073305,0.7854307111791452,-3.3306690738754696e-16,False,0.9986208903848367,0.7854307111791453,-2.220446049250313e-16,False,0.9790220551293459,0.7854307111791453,-2.220446049250313e-16,False,0.9793167878235367,0.7854307111791454,-1.1102230246251565e-16,False,0.981657014252818,0.7854307111791458,2.220446049250313e-16,False,0.9913668364870313,0.7854307111791453,-2.220446049250313e-16,False,0.9986208903848367,0.7854307111791453,-2.220446049250313e-16,False
Reactive_Oxygen_Species,0.9573405903549125,0.28059079569286827,1.1102230246251565e-16,False,0.9573405903549125,0.28059079569286827,1.1102230246251565e-16,False,0.9980503885129398,0.28059079569286816,0.0,False,0.9573494440843472,0.2805907956928682,5.551115123125783e-17,False,0.9582081888846143,0.28059079569286816,0.0,False,0.964677254438609,0.280590795692868,-1.6653345369377348e-16,False,0.9861604434073977,0.28059079569286827,1.1102230246251565e-16,False,0.9980503885129398,0.28059079569286816,0.0,False
Wound_Healing,1.0194458808105578,0.6335773292191307,0.0,False,1.0194458808105578,0.6335773292191307,0.0,False,1.0015579333512166,0.6335773292191306,-1.1102230246251565e-16,False,1.0194436120053614,0.6335773292191306,-1.1102230246251565e-16,False,1.0192216297362158,0.6335773292191306,-1.1102230246251565e-16,False,1.017416858519816,0.6335773292191305,-2.220446049250313e-16,False,1.0090172033694265,0.6335773292191306,-1.1102230246251565e-16,False,1.0015579333512166,0.6335773292191306,-1.1102230246251565e-16,False
Fibrosis,1.023385834986248,0.7206142753278978,1.1102230246251565e-16,False,1.023385834986248,0.7206142753278978,1.1102230246251565e-16,False,1.0019052738186762,0.7206142753278977,0.0,False,1.023383126992055,0.7206142753278976,-1.1102230246251565e-16,False,1.0231181794554516,0.7206142753278979,2.220446049250313e-16,False,1.020964316240573,0.7206142753278976,-1.1102230246251565e-16,False,1.0109212113745962,0.7206142753278975,-2.220446049250313e-16,False,1.0019052738186762,0.7206142753278977,0.0,False
MYC_Targets,1.017465123552587,0.7729682828699458,1.1102230246251565e-16,False,1.017465123552587,0.7729682828699458,1.1102230246251565e-16,False,1.0011560664935977,0.7729682828699458,1.1102230246251565e-16,False,1.0174626471549448,0.772968282869946,3.3306690738754696e-16,False,1.017220923578174,0.7729682828699458,1.1102230246251565e-16,False,1.015296849667547,0.7729682828699456,-1.1102230246251565e-16,False,1.0072339753730581,0.7729682828699458,1.1102230246251565e-16,False,1.0011560664935977,0.7729682828699458,1.1102230246251565e-16,False
