sampling_method,calibration_fraction,repeat,seed,pathway,intercept_z,intercept_raw,baseline_raw_r2,calibrated_raw_r2,delta_raw_r2,baseline_raw_mae,calibrated_raw_mae
spatial_stratified,0.02,101,20260826,P53_Pathway,0.663856508476,1113.24976912,-0.269794110729,0.298722117222,0.568516227951,1205.88504137,775.56330582
spatial_stratified,0.02,101,20260826,DNA_Damage_Response,0.608698774839,895.093599665,-0.164107523541,0.234114240327,0.398221763867,1074.80367076,818.438240673
spatial_stratified,0.02,101,20260826,Complement,1.07233145877,1874.07445031,-1.6909947976,-0.0290793470656,1.66191545053,2056.61011759,1143.68350054
spatial_stratified,0.02,101,20260826,Coagulation,0.201296078352,200.132573425,0.13799784071,0.0865791762762,-0.0514186644337,550.354872392,565.230266383
spatial_stratified,0.02,101,20260826,Oxidative_Phosphorylation,0.132024970172,321.105072738,0.613223635899,0.593747278132,-0.019476357767,703.857075108,710.466918289
spatial_stratified,0.02,101,20260826,Reactive_Oxygen_Species,0.554592366729,628.649829908,-0.520081090138,0.0402320903346,0.560313180473,858.562012276,614.18041377
spatial_stratified,0.02,101,20260826,Wound_Healing,0.169502802326,339.128944317,0.339871552321,0.372729083093,0.0328575307722,808.998384576,784.904909973
spatial_stratified,0.02,101,20260826,Fibrosis,0.0532384509043,147.766187078,0.511884747274,0.515692120291,0.0038073730168,1081.2089112,1064.19569087
spatial_stratified,0.02,101,20260826,MYC_Targets,0.221780194413,701.648868454,0.403718248126,0.586702258889,0.182984010763,985.166833949,741.653999479
spatial_stratified,0.02,101,20260826,E2F_Targets,0.47297536972,957.987533335,-0.00543050775935,0.388799454845,0.394229962604,1229.47890677,892.145255467
spatial_stratified,0.02,101,20260826,G2M_Checkpoint,0.550965732762,1185.96608572,-0.198395426853,0.406610194918,0.605005621771,1904.11776436,1225.43749091
spatial_stratified,0.02,101,20260826,Mitotic_Spindle,0.559398978949,1032.32738267,-0.101662326064,0.391702158484,0.493364484548,1542.3932884,1058.05822462
spatial_stratified,0.02,101,20260826,Unfolded_Protein_Response,0.348115219247,669.307450961,0.133345803116,0.351969106315,0.218623303199,1008.69758231,780.808688155
spatial_stratified,0.02,101,20260826,mTOR_Signaling,0.186782492059,336.55687275,0.389705479226,0.433053591076,0.0433481118495,734.613790054,685.801855841
spatial_stratified,0.02,101,20260826,Interferon_Alpha,0.977717184462,1819.45138097,-2.68819273879,-0.0712131535323,2.61697958526,1905.15805329,880.361533862
spatial_stratified,0.02,101,20260826,Angiogenesis,-0.253029551534,-447.125342874,0.314059625776,0.39969087363,0.0856312478533,1227.33994978,1107.21883522
spatial_stratified,0.02,101,20260826,Apoptosis,0.29032775192,453.569701522,0.0910627665056,0.136380060566,0.0453172940602,771.716946156,731.341726297
spatial_stratified,0.02,101,20260826,TNF_Signaling,0.523353317664,1145.44158372,-0.265690035906,-0.00868379827181,0.257006237634,1358.79842021,1115.99497995
spatial_stratified,0.02,101,20260826,ECM_Organization,0.0049910660434,15.8181754653,0.53111636139,0.529849626353,-0.00126673503688,1082.07618308,1082.39309967
spatial_stratified,0.02,102,20260827,tls,0.0566893510875,89.6409574917,0.382948921261,0.387282115592,0.00433319433182,1186.49559588,1205.98275232
spatial_stratified,0.02,102,20260827,tgfb,0.300967532964,509.752109645,0.0798775784259,0.169023124411,0.089145545985,848.466987727,750.254518383
spatial_stratified,0.02,102,20260827,emt,-0.168547720826,-362.13530705,0.16800425462,0.301926126841,0.133921872221,872.464758589,796.325865566
spatial_stratified,0.02,102,20260827,hypoxia,-0.126119942892,-316.911013031,0.0324398873289,-0.0157754348054,-0.0482153221343,1148.94523283,1180.83454246
spatial_stratified,0.02,102,20260827,mhc,-0.0935997155805,-206.756473191,0.201558588623,0.227073018348,0.025514429725,426.153881326,404.842287371
spatial_stratified,0.02,102,20260827,icp,0.648043858774,982.996037445,-0.302909334182,0.0702898512536,0.373199185436,1731.66758298,1493.84674174
spatial_stratified,0.02,102,20260827,ifng,0.30302256909,879.710615441,-0.364807059062,-0.112064674514,0.252742384547,1843.44361176,1688.03628881
spatial_stratified,0.02,102,20260827,toxic,-0.0413709707957,-79.3504454073,0.11409867883,0.102731614887,-0.0113670639425,1604.01610774,1601.8172914
spatial_stratified,0.02,102,20260827,Glycolysis,0.50804115619,882.915829591,-0.431731964571,0.352487655853,0.784219620424,1027.25073248,627.747449008
spatial_stratified,0.02,102,20260827,Inflammatory_Response,-0.0841837484567,-160.913769554,0.18520005278,0.177510312788,-0.00768973999177,1353.43489371,1344.53723393
spatial_stratified,0.02,102,20260827,IL6_JAK_STAT3,0.325460415511,640.250113729,-0.353573924221,0.223850822283,0.577424746505,1214.65737193,814.079989308
spatial_stratified,0.02,102,20260827,P53_Pathway,0.641270973143,1075.37510543,-0.287996543879,0.298058103594,0.586054647473,1203.88977539,770.72967664
spatial_stratified,0.02,102,20260827,DNA_Damage_Response,0.577712423035,849.528064917,-0.169335656373,0.238078479242,0.407414135615,1077.26699582,817.3457883
spatial_stratified,0.02,102,20260827,Complement,0.835189066739,1459.62936958,-1.7206825232,-0.102994977035,1.61768754617,2060.66945114,1232.0324531
spatial_stratified,0.02,102,20260827,Coagulation,0.0231947719696,23.0607046213,0.130130682076,0.131612077067,0.00148139499102,554.099933598,553.027453388
spatial_stratified,0.02,102,20260827,Oxidative_Phosphorylation,0.0178522898683,43.4195200289,0.610204854856,0.612834248676,0.00262939382003,702.380066462,697.492210238
spatial_stratified,0.02,102,20260827,Reactive_Oxygen_Species,0.367473766208,416.544356686,-0.547713002406,-0.0339476411208,0.513765361285,856.59397328,652.652181771
spatial_stratified,0.02,102,20260827,Wound_Healing,0.116395731767,232.876159541,0.332076354084,0.371246917967,0.0391705638823,811.3557418,782.686247596
spatial_stratified,0.02,102,20260827,Fibrosis,0.0444591291958,123.398706959,0.508381233446,0.51241525192,0.00403401847444,1082.30975839,1066.87006398
spatial_stratified,0.02,102,20260827,MYC_Targets,0.143185518327,452.997875573,0.394883851681,0.558784014154,0.163900162473,982.997646686,773.958341126
spatial_stratified,0.02,102,20260827,E2F_Targets,0.373890731306,757.296642387,-0.00984010465335,0.374581704763,0.384421809416,1234.67585629,914.491545159
spatial_stratified,0.02,102,20260827,G2M_Checkpoint,0.501322825661,1079.10861579,-0.209453163398,0.377496041749,0.586949205147,1904.96754559,1263.25084299
spatial_stratified,0.02,102,20260827,Mitotic_Spindle,0.416249922698,768.156913772,-0.119106554542,0.326019748604,0.445126303146,1544.11603149,1136.33580723
spatial_stratified,0.02,102,20260827,Unfolded_Protein_Response,0.352463392984,677.667513721,0.133606538147,0.352629514508,0.219022976361,1007.45091024,777.669146848
spatial_stratified,0.02,102,20260827,mTOR_Signaling,0.0831001507384,149.735269882,0.388572568838,0.429008363195,0.0404357943574,731.427790093,697.674556556
spatial_stratified,0.02,102,20260827,Interferon_Alpha,0.931647997261,1733.72040723,-2.69590500474,-0.0687257960364,2.6271792087,1906.1621772,891.790858223
spatial_stratified,0.02,102,20260827,Angiogenesis,-0.294860535789,-521.04434982,0.314750207145,0.402995372014,0.0882451648689,1219.77985415,1091.73357299
spatial_stratified,0.02,102,20260827,Apoptosis,0.11441038478,178.739661408,0.0826087325308,0.149944336573,0.0673356040423,770.521961981,731.540816452
spatial_stratified,0.02,102,20260827,TNF_Signaling,0.158973135232,347.937872262,-0.291577371162,-0.0771394964739,0.214437874688,1361.99108154,1203.75841634
spatial_stratified,0.02,102,20260827,ECM_Organization,-0.0931643440965,-295.265566357,0.530561823192,0.531119374552,0.000557551359806,1079.73366565,1105.81197446
spatial_stratified,0.02,103,20260828,tls,0.00101721002942,1.60847988658,0.387648761341,0.387758040617,0.00010927927595,1178.58782122,1178.8975089
spatial_stratified,0.02,103,20260828,tgfb,-0.0137758329511,-23.3322838506,0.0703700773316,0.0556656337276,-0.0147044436041,850.467734835,860.012816562
spatial_stratified,0.02,103,20260828,emt,-0.394768295815,-848.184343985,0.176493749193,0.207410588977,0.0309168397835,867.250113675,875.356134029
spatial_stratified,0.02,103,20260828,hypoxia,-0.0643765801741,-161.763847736,0.0393807933118,0.0265593178477,-0.0128214754641,1146.59587029,1154.2117166
spatial_stratified,0.02,103,20260828,mhc,-0.0409274541196,-90.4064293144,0.218240816735,0.241791841381,0.0235510246456,423.158860498,401.855159362
spatial_stratified,0.02,103,20260828,icp,0.413439717981,627.132869165,-0.308797161967,-0.00595003442492,0.302847127542,1731.59296607,1526.97139807
spatial_stratified,0.02,103,20260828,ifng,0.0966587319438,280.611813244,-0.381613009794,-0.25789858053,0.123714429264,1854.59395175,1768.62413586
spatial_stratified,0.02,103,20260828,toxic,-0.247436976149,-474.589643173,0.118029662779,0.0111528282088,-0.106876834571,1603.55044507,1629.5082495
spatial_stratified,0.02,103,20260828,Glycolysis,0.326916319451,568.142147301,-0.448972288306,0.241211933178,0.690184221483,1030.91237852,693.444265556
spatial_stratified,0.02,103,20260828,Inflammatory_Response,-0.205729730294,-393.243910111,0.194651612789,0.150465553003,-0.0441860597861,1345.34465673,1339.84098518
