sampling_method,calibration_fraction,repeat,seed,n_calibration,n_test,baseline_mean_r2,calibrated_mean_r2,delta_mean_r2,baseline_mean_pcc,calibrated_mean_pcc,baseline_mean_ccc,calibrated_mean_ccc,baseline_mean_raw_mae,calibrated_mean_raw_mae,delta_mean_raw_mae
spatial_stratified,0.02,7,20260732,21,1018,-0.092024165731,0.231837474248,0.323861639979,0.51947834819,0.51947834819,0.398211988376,0.450740943967,1176.02549283,976.866501128,-199.158991699
spatial_stratified,0.02,8,20260733,21,1018,-0.0843407071082,0.254658760777,0.338999467885,0.521261823805,0.521261823805,0.400447990226,0.458516597954,1175.91010034,955.286599943,-220.623500402
spatial_stratified,0.02,9,20260734,21,1018,-0.0945596292455,0.23718873538,0.331748364625,0.518174757974,0.518174757974,0.397660967668,0.450652186869,1176.83355337,978.030302256,-198.803251114
spatial_stratified,0.02,10,20260735,21,1018,-0.0859553126418,0.246790613943,0.332745926585,0.520901825752,0.520901825752,0.400236323888,0.455320544482,1175.35788011,952.579219629,-222.778660483
spatial_stratified,0.02,11,20260736,21,1018,-0.0908958883791,0.238451290396,0.329347178775,0.51604471085,0.51604471085,0.395596081061,0.450592874438,1175.99413736,960.267979647,-215.726157715
spatial_stratified,0.02,12,20260737,21,1018,-0.0876165374063,0.249297277325,0.336913814731,0.520362017847,0.520362017847,0.39927125123,0.456362425223,1177.0062769,960.109006257,-216.897270645
spatial_stratified,0.02,13,20260738,21,1018,-0.0892964968627,0.24452926428,0.333825761143,0.519921562918,0.519921562918,0.399332898635,0.455406920053,1176.64272954,973.894855997,-202.747873541
spatial_stratified,0.02,14,20260739,21,1018,-0.0940961464721,0.210399855263,0.304496001735,0.517835364366,0.517835364366,0.397577418463,0.446582168601,1175.57847569,994.744399172,-180.834076522
spatial_stratified,0.02,15,20260740,21,1018,-0.0868309026463,0.239076423505,0.325907326151,0.51976568239,0.51976568239,0.399146687086,0.452202582963,1175.21009279,967.097342215,-208.112750578
spatial_stratified,0.02,16,20260741,21,1018,-0.0963263267265,0.214751052541,0.311077379267,0.518370520602,0.518370520602,0.397319984781,0.449759494092,1177.31250256,984.56535856,-192.747144005
spatial_stratified,0.02,17,20260742,21,1018,-0.0892083197499,0.236374629394,0.325582949144,0.51962483413,0.51962483413,0.398561108216,0.452496736797,1175.9539516,967.525336825,-208.428614777
spatial_stratified,0.02,18,20260743,21,1018,-0.0872176254764,0.23518106471,0.322398690187,0.518878643773,0.518878643773,0.398613954353,0.451960050062,1175.20460837,967.934665395,-207.26994298
spatial_stratified,0.02,19,20260744,21,1018,-0.0861221269444,0.236901760987,0.323023887932,0.520412205095,0.520412205095,0.400378903197,0.454062648805,1175.68392681,962.753376976,-212.930549837
spatial_stratified,0.02,20,20260745,21,1018,-0.0922815228433,0.240267007559,0.332548530402,0.516996409399,0.516996409399,0.397037327706,0.450694978302,1176.89688899,965.039016041,-211.857872945
spatial_stratified,0.02,21,20260746,21,1018,-0.0869131330973,0.244561594361,0.331474727458,0.520331097772,0.520331097772,0.400149539487,0.455135667506,1175.3839374,963.076910437,-212.307026958
spatial_stratified,0.02,22,20260747,21,1018,-0.0891559679478,0.247582911738,0.336738879686,0.517903040527,0.517903040527,0.398214200069,0.455355769278,1175.74846212,961.049665436,-214.69879668
spatial_stratified,0.02,23,20260748,21,1018,-0.0906839954828,0.243144195126,0.333828190609,0.51984261167,0.51984261167,0.399162439157,0.455194775885,1175.50904852,971.411714714,-204.097333807
spatial_stratified,0.02,24,20260749,21,1018,-0.0851079162519,0.243441862525,0.328549778777,0.521116740446,0.521116740446,0.400673355432,0.454944770316,1176.81169656,975.890293712,-200.921402852
spatial_stratified,0.02,25,20260750,21,1018,-0.0918990967139,0.246832393941,0.338731490654,0.517722829253,0.517722829253,0.397590306734,0.454068295963,1176.51885058,966.586314189,-209.932536394
spatial_stratified,0.02,26,20260751,21,1018,-0.0882071027622,0.238525008917,0.32673211168,0.519898090762,0.519898090762,0.399434601786,0.454188377717,1177.3079834,962.13667468,-215.171308717
spatial_stratified,0.02,27,20260752,21,1018,-0.0891269203672,0.223382562746,0.312509483113,0.519911571248,0.519911571248,0.398747452791,0.45227829966,1178.30828909,979.176182621,-199.132106465
spatial_stratified,0.02,28,20260753,21,1018,-0.092027839344,0.24739807741,0.339425916754,0.520087666202,0.520087666202,0.399401110043,0.456402308836,1174.7485206,963.33893559,-211.409585013
spatial_stratified,0.02,29,20260754,21,1018,-0.0963728653619,0.237760955076,0.334133820438,0.516858187846,0.516858187846,0.396056170452,0.449736183612,1176.76218756,987.917985978,-188.84420158
spatial_stratified,0.02,30,20260755,21,1018,-0.0985978837406,0.2073946985,0.305992582241,0.517528454681,0.517528454681,0.395796913283,0.444935411135,1175.32784888,990.188777011,-185.139071872
spatial_stratified,0.02,31,20260756,21,1018,-0.0848505068267,0.237802658174,0.322653165,0.522032240844,0.522032240844,0.40084969376,0.455652995993,1176.23124264,966.61952196,-209.61172068
spatial_stratified,0.02,32,20260757,21,1018,-0.0928226605429,0.238886750042,0.331709410585,0.519498693662,0.519498693662,0.398471753455,0.451620589252,1174.2141317,984.201819177,-190.012312524
spatial_stratified,0.02,33,20260758,21,1018,-0.0848551384173,0.251359604636,0.336214743054,0.521023229453,0.521023229453,0.40037456885,0.457757007722,1174.89314891,964.814900348,-210.078248561
spatial_stratified,0.02,34,20260759,21,1018,-0.084958533938,0.234747012314,0.319705546252,0.520615572254,0.520615572254,0.399733600593,0.453809400941,1174.7144583,972.389875726,-202.324582573
spatial_stratified,0.02,35,20260760,21,1018,-0.0913232634741,0.22855777777,0.319881041244,0.520010244136,0.520010244136,0.399244365428,0.451516609769,1175.26669152,980.557140238,-194.709551284
spatial_stratified,0.02,36,20260761,21,1018,-0.0931482804721,0.242907760236,0.336056040708,0.517809970572,0.517809970572,0.396865703932,0.452007368056,1176.30018789,966.233620199,-210.066567695
spatial_stratified,0.02,37,20260762,21,1018,-0.0907931219867,0.244108802957,0.334901924943,0.518754567333,0.518754567333,0.398529543491,0.454942890069,1174.40606007,959.234874218,-215.171185856
spatial_stratified,0.02,38,20260763,21,1018,-0.0921400128591,0.232527701672,0.324667714531,0.519530100611,0.519530100611,0.398748617393,0.452733650678,1175.32011071,968.491433114,-206.828677598
spatial_stratified,0.02,39,20260764,21,1018,-0.0907243746642,0.244437934116,0.33516230878,0.517503257489,0.517503257489,0.396957966426,0.452968989898,1177.39483845,965.319552754,-212.075285698
spatial_stratified,0.02,40,20260765,21,1018,-0.0966816086195,0.213945256113,0.310626864733,0.518057817299,0.518057817299,0.396912661139,0.44559353374,1176.18661498,997.369540669,-178.817074313
spatial_stratified,0.02,41,20260766,21,1018,-0.088844553394,0.244759452438,0.333604005832,0.518875740785,0.518875740785,0.397895220965,0.454250308309,1178.09526923,965.114003542,-212.981265692
spatial_stratified,0.02,42,20260767,21,1018,-0.0909874466545,0.251642810904,0.342630257558,0.518625918428,0.518625918428,0.398158223678,0.456234606505,1175.88664977,964.013391302,-211.873258463
spatial_stratified,0.02,43,20260768,21,1018,-0.097400087263,0.232844593993,0.330244681256,0.514880095636,0.514880095636,0.394356868531,0.448353825265,1176.49810805,967.149356227,-209.348751828
spatial_stratified,0.02,44,20260769,21,1018,-0.0831769728393,0.236240966151,0.31941793899,0.521100998254,0.521100998254,0.400068152677,0.451662322486,1176.27280061,968.917522363,-207.355278245
spatial_stratified,0.02,45,20260770,21,1018,-0.0900245544056,0.235286710652,0.325311265058,0.520491567033,0.520491567033,0.399235549016,0.452287879473,1175.60268716,976.166199668,-199.436487492
spatial_stratified,0.02,46,20260771,21,1018,-0.0876575743152,0.246375659471,0.334033233786,0.518115683958,0.518115683958,0.397699312367,0.454546070447,1175.15896183,953.089760427,-222.069201405
spatial_stratified,0.02,47,20260772,21,1018,-0.0866284083659,0.240360109879,0.326988518245,0.518948608899,0.518948608899,0.398274262104,0.452052047766,1175.91340463,972.394053939,-203.519350686
spatial_stratified,0.02,48,20260773,21,1018,-0.0911951903412,0.23650653996,0.327701730301,0.518860302682,0.518860302682,0.398016289298,0.451021852908,1176.49464027,988.616363099,-187.878277168
spatial_stratified,0.02,49,20260774,21,1018,-0.0894037006844,0.247475304212,0.336879004897,0.519732440975,0.519732440975,0.398964684931,0.456766729441,1176.04081701,963.660524645,-212.380292362
spatial_stratified,0.02,50,20260775,21,1018,-0.0858391409514,0.2492371543,0.335076295251,0.520313389412,0.520313389412,0.399114339833,0.457052570252,1176.40431141,957.237892097,-219.166419315
spatial_stratified,0.02,51,20260776,21,1018,-0.0977049439672,0.222179062163,0.319884006131,0.516528821945,0.516528821945,0.396445247673,0.446210598085,1176.24528153,996.141944435,-180.103337098
spatial_stratified,0.02,52,20260777,21,1018,-0.0931831434719,0.218988586762,0.312171730234,0.519185263574,0.519185263574,0.398532968254,0.448514354816,1173.92700605,992.971599938,-180.955406115
spatial_stratified,0.02,53,20260778,21,1018,-0.103893209307,0.202057260759,0.305950470067,0.515407036556,0.515407036556,0.395185491433,0.441082285268,1176.76832328,1011.05887504,-165.709448235
