analysis_id,analysis_class,evidence_status,arm,split,patient,pathway,n,hh_count,ll_count,hl_count,lh_count,neutral_count,isolated_count,hotspot_definition,computation_status,reason
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,JFX,MYC_Targets,203,53,72,48,30,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,JFX,Mitotic_Spindle,203,73,59,34,37,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,JFX,Oxidative_Phosphorylation,203,59,60,39,45,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,JFX,P53_Pathway,203,58,54,48,43,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,JFX,Reactive_Oxygen_Species,203,49,51,50,53,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,JFX,TNF_Signaling,203,60,60,41,42,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,JFX,Unfolded_Protein_Response,203,61,62,38,42,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,JFX,Wound_Healing,203,58,67,46,32,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,JFX,emt,203,54,49,52,48,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,JFX,hypoxia,203,42,58,52,51,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,JFX,icp,203,78,44,41,40,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,JFX,ifng,203,62,54,42,45,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,JFX,mTOR_Signaling,203,44,60,52,47,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,JFX,mhc,203,46,70,45,42,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,JFX,tgfb,203,61,57,50,35,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,JFX,tls,203,72,55,44,32,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,JFX,toxic,203,69,44,48,42,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,LMZ12939,Angiogenesis,337,102,91,71,73,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,LMZ12939,Apoptosis,337,119,54,80,84,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,LMZ12939,Coagulation,337,129,73,70,65,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
