analysis_id,analysis_class,evidence_status,arm,split,pathway,aggregation,n_patients,n_spots,pcc,ccc,z_rmse,raw_r2,spearman,pcc_minus_ccc,pcc_squared_minus_raw_r2,z_mse,bias_squared,scale_mismatch_squared,decorrelation_component,decomposition_sum,decomposition_residual
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,internal_val,E2F_Targets,patient_balanced_mean,6,1078,0.7264423529175735,0.6968864778091993,0.5662251451702763,0.5246817437789639,0.7096378996713896,0.02955587510837432,0.01018863569259266,0.32659233824553463,0.00620768804348079,0.03808298769685008,0.28230166250520367,0.3265923382455345,7.401486830834377e-17
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,internal_val,ECM_Organization,patient_balanced_mean,6,1078,0.8597178543965885,0.8482940350989333,0.40583486054497836,0.7378709279542534,0.8078239834566415,0.011423819297655013,0.005611759227818924,0.1759053889539954,0.0030765534387718944,0.013280767387361156,0.15954806812786249,0.17590538895399552,-1.2027416100105862e-16
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,internal_val,Fibrosis,patient_balanced_mean,6,1078,0.8377238996025897,0.8240344476756225,0.46457169600778886,0.7027642923043306,0.802839617835121,0.013689451926967152,0.003831596649762884,0.23071703484653186,0.001991404096696635,0.019716246546970004,0.2090093842028653,0.23071703484653194,-6.938893903907228e-17
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,internal_val,G2M_Checkpoint,patient_balanced_mean,6,1078,0.6987526547790831,0.6644930854365961,0.5892416624951965,0.4830099638908008,0.644128405857158,0.0342595693424869,0.017594926068144306,0.3579519747231363,0.005510683257261652,0.04254839377604397,0.30989289768983075,0.3579519747231364,-1.0639637319324417e-16
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,internal_val,Glycolysis,patient_balanced_mean,6,1078,0.7263130364060072,0.695309776833929,0.5291181736279499,0.4992736440495477,0.6903658372499756,0.031003259572078112,0.037234577183863686,0.28154193018947143,0.0029627528466175603,0.04063057266366758,0.2379486046791863,0.28154193018947143,-2.312964634635743e-17
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,internal_val,IL6_JAK_STAT3,patient_balanced_mean,6,1078,0.6784572545793668,0.641794815208121,0.5112005909261066,0.39780794353464927,0.6115622198088749,0.03666243937124581,0.08001533235483692,0.26379304849898677,0.005699218870949495,0.03455061741078442,0.22354321221725293,0.2637930484989868,-9.71445146547012e-17
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,internal_val,Inflammatory_Response,patient_balanced_mean,6,1078,0.6445780015988116,0.6132711863450325,0.6223066425221243,0.42605692401827877,0.6002559768552946,0.031306815253779145,0.03597412114664405,0.39663681520691135,0.005767883416501467,0.06146105446179231,0.3294078773286175,0.3966368152069113,1.4802973661668753e-16
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,internal_val,Interferon_Alpha,patient_balanced_mean,6,1078,0.5744786409535144,0.5454654335503895,0.5526120231484023,0.2764456784559883,0.5004441955417641,0.029013207403124946,0.07547977237693267,0.3097245369891445,0.0047790504083746405,0.034863580485880175,0.2700819060948898,0.30972453698914465,-1.2027416100105862e-16
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,internal_val,MYC_Targets,patient_balanced_mean,6,1078,0.8139347027210135,0.8004126214298416,0.4247523959040673,0.618616795856623,0.7582990915117053,0.013522081291171975,0.051604879992753365,0.18407664309516572,0.0028099394970387006,0.014147115170822662,0.16711958842730423,0.1840766430951656,1.3183898417423734e-16
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,internal_val,Mitotic_Spindle,patient_balanced_mean,6,1078,0.6725845534068817,0.6356715972933472,0.6097240007776642,0.4570511473303156,0.6397103974072248,0.03691295611353449,0.011488118935055682,0.38029748540973124,0.0028216417352523895,0.05413140021018656,0.3233444434642923,0.38029748540973124,-5.088522196198634e-17
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,internal_val,Oxidative_Phosphorylation,patient_balanced_mean,6,1078,0.8244288216995143,0.8102469174244509,0.4249890049527323,0.6739539288795261,0.7730895148337368,0.014181904275063403,0.007079593912391306,0.18311185476040115,0.0009556864949068389,0.016525583918000967,0.16563058434749334,0.18311185476040115,-1.850371707708594e-17
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,internal_val,P53_Pathway,patient_balanced_mean,6,1078,0.589465103551007,0.5375401034278983,0.6225896433151089,0.3100993736915491,0.5358199542284676,0.051925000123108855,0.04386330624605195,0.39312127834263505,0.01060732431171293,0.06586238429093752,0.31665156973998454,0.393121278342635,2.7755575615628914e-17
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,internal_val,Reactive_Oxygen_Species,patient_balanced_mean,6,1078,0.4660142088243194,0.3960715042497152,0.7374250692640903,0.20538306277857998,0.4349191869891064,0.06994270457460426,0.02470004941734463,0.5509061789306924,0.005663157534410536,0.14310111965033975,0.40214190174594217,0.5509061789306925,-3.700743415417188e-17
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,internal_val,TNF_Signaling,patient_balanced_mean,6,1078,0.6193499288242058,0.5808411852026736,0.5702791187206993,0.36683199635467884,0.5979847932429424,0.03850874362153234,0.032106557890550176,0.32911417677907584,0.00605443627090569,0.0446743891064899,0.2783853514016803,0.3291141767790759,-4.625929269271485e-18
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,internal_val,Unfolded_Protein_Response,patient_balanced_mean,6,1078,0.6014833201456151,0.5519818102298613,0.5683634136714121,0.29199962343779684,0.5374467251343195,0.04950150991575384,0.08661071914234247,0.3287592534979995,0.007186730166708277,0.059079110575120934,0.2624934127561702,0.32875925349799945,8.789265611615822e-17
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,internal_val,Wound_Healing,patient_balanced_mean,6,1078,0.7997829248908065,0.7837596489361376,0.48959160404145924,0.6409888142018557,0.7676929917487779,0.01602327595466881,0.0063429624136305636,0.24574259623633998,0.0032889499965334528,0.01829902496915336,0.2241546212706531,0.2457425962363399,7.864079757761526e-17
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,internal_val,emt,patient_balanced_mean,6,1078,0.7080329435498992,0.6833702771531582,0.5922539043298928,0.5007549463270806,0.6719378935296825,0.02466266639674103,0.010105671008750114,0.354815721197595,0.0029966115399450138,0.03722410395078243,0.3145950057068675,0.3548157211975949,4.625929269271486e-17
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,internal_val,hypoxia,patient_balanced_mean,6,1078,0.6540085570980909,0.6054695471709216,0.6208642346554464,0.41152220927734917,0.5984142016531253,0.04853900992716933,0.02287986571723205,0.4030238947262965,0.005674485772874012,0.07811668858027596,0.3192327203731466,0.4030238947262965,2.312964634635743e-17
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,internal_val,icp,patient_balanced_mean,6,1078,0.4529520879441616,0.3861555441025024,0.8932905207823657,0.20204387804456894,0.47674052907584646,0.06679654384165916,0.02499201164902283,0.8512758443871938,0.009303193257414015,0.2049643584381291,0.6370082926916509,0.8512758443871942,-1.7578531223231644e-16
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,internal_val,ifng,patient_balanced_mean,6,1078,0.4194055176879204,0.3702873517646111,0.7469782119832021,0.16949820725082962,0.37805850799987484,0.04911816592330933,0.05458567299582448,0.5604153651979757,0.0014948754825339795,0.1232181237159644,0.4357023659994775,0.5604153651979759,-1.3877787807814457e-16
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,internal_val,mTOR_Signaling,patient_balanced_mean,6,1078,0.6839433796252566,0.6456708394543751,0.5655837888651979,0.4631652686748955,0.6482832164092907,0.03827254017088155,0.010148781345785044,0.322266108638486,0.0035124511334387876,0.0475289542845734,0.27122470322047393,0.3222661086384861,-4.625929269271486e-17
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,internal_val,mhc,patient_balanced_mean,6,1078,0.4287383300729184,0.36102335144909325,0.5928183895254201,-7.439600739537748,0.30863042027782334,0.06771497862382524,7.661207205771736,0.4523092958632009,0.00197207520203446,0.12144958398947964,0.3288876366716868,0.4523092958632009,1.1564823173178714e-17
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,internal_val,tgfb,patient_balanced_mean,6,1078,0.4940923476635675,0.42657780875060974,0.6585915662295555,0.2721331204840142,0.48005620619294875,0.06751453891295779,0.023980702869212316,0.4386574316790977,0.005253782548779915,0.12383229841762976,0.30957135071268804,0.4386574316790977,4.625929269271486e-17
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,internal_val,tls,patient_balanced_mean,6,1078,0.732776541773538,0.6933334492985178,0.5409051118129927,0.5416039963949656,0.7299279344460782,0.039443092475020314,0.007706596181938086,0.3092344797384632,0.0038569660193489073,0.060044481638561235,0.245333032080553,0.309234479738463,1.0639637319324417e-16
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,internal_val,toxic,patient_balanced_mean,6,1078,0.5692980813574884,0.5029361210063831,0.760195197659812,0.3157725011005732,0.602241193651973,0.06636196035110536,0.023511998986613727,0.6671938201409562,0.012608446720667276,0.1972136756719536,0.45737169774833514,0.6671938201409561,6.47630097698008e-17
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,XZY,Angiogenesis,patient_balanced_mean,1,1039,0.6353157458018982,0.5124130728278516,0.8666022218832848,0.2821470899810531,0.48723806666720865,0.12290267297404656,0.12147900688276903,0.7509994109730461,0.12527841809630433,0.17268246480334595,0.4530385280733955,0.7509994109730458,3.3306690738754696e-16
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,XZY,Apoptosis,patient_balanced_mean,1,1039,0.4246464486351839,0.3314568252222162,0.6243315953088776,0.08658226244476364,0.2985382873620229,0.09318962341296771,0.09374234389371025,0.38978994090092806,0.03497258587268709,0.09297769048384817,0.2618396645443929,0.38978994090092817,-1.1102230246251565e-16
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,XZY,Coagulation,patient_balanced_mean,1,1039,0.4330243803606978,0.3975486464562988,0.7148086013020878,0.12146345103726708,0.4210185277511853,0.03547573390439901,0.06604666294949921,0.5109513364954471,0.005916654141310368,0.06356603123867761,0.4414686511154592,0.5109513364954472,-1.1102230246251565e-16
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,XZY,Complement,patient_balanced_mean,1,1039,0.3608826408041724,0.175790280251964,1.3318224154432705,-1.6631213163177456,0.37568568599197755,0.18509236055220843,1.793357596751539,1.7737509462771475,1.0735377050715245,0.030229307396538875,0.6699839338090839,1.7737509462771475,0.0
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,XZY,DNA_Damage_Response,patient_balanced_mean,1,1039,0.5093850228487692,0.34800217620985674,0.8702187871084603,-0.1401193589302152,0.4473469440594065,0.16138284663891245,0.3995924604328563,0.7572807374365198,0.2602775041375705,0.1077005886096743,0.38930264468927517,0.75728073743652,-2.220446049250313e-16
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,XZY,E2F_Targets,patient_balanced_mean,1,1039,0.6340543453398774,0.48421586971324776,0.7201233266487743,0.028305791867011765,0.5457889422354754,0.1498384756266296,0.3737191209773687,0.5185776055836974,0.19556456798879635,0.04203335805923339,0.2809796795356674,0.5185776055836971,2.220446049250313e-16
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,XZY,ECM_Organization,patient_balanced_mean,1,1039,0.7368877334164337,0.7179362327319198,0.4384460779986819,0.5318659765942113,0.747406568463109,0.0189515006845139,0.011137555065397708,0.19223496331242626,0.0024679203601680666,0.015059877474591477,0.1747071654776668,0.19223496331242634,-8.326672684688674e-17
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,XZY,Fibrosis,patient_balanced_mean,1,1039,0.7218139563081191,0.7015243350533702,0.48551828789311696,0.5108442614637001,0.735833710287665,0.02028962125474887,0.010171126057479163,0.23572800787866363,0.002221387199767204,0.019978507929262184,0.2135281127496342,0.2357280078786636,2.7755575615628914e-17
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,XZY,G2M_Checkpoint,patient_balanced_mean,1,1039,0.6754545235987687,0.42818645023471796,1.000968610392894,-0.15531429553913068,0.6348171318575553,0.2472680733640507,0.6115531089891701,1.0019381589918812,0.5292995340434294,0.11214396102215628,0.3604946639262954,1.0019381589918812,0.0
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,XZY,Glycolysis,patient_balanced_mean,1,1039,0.6068513617492752,0.35552965292333716,0.7183394611626146,-0.4736317315322849,0.36641295179420985,0.2513217088259381,0.8419003067892346,0.5160115814633954,0.29341466276402156,0.0381774429016016,0.1844194757977723,0.5160115814633954,0.0
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,XZY,IL6_JAK_STAT3,patient_balanced_mean,1,1039,0.555799828227338,0.2942274509057141,0.7141682071914421,-0.3138484299393023,0.32827699916677755,0.26157237732162386,0.6227618789968408,0.5100362281630386,0.2402124533676668,0.09988997600600147,0.16993379878937057,0.5100362281630388,-2.220446049250313e-16
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,XZY,Inflammatory_Response,patient_balanced_mean,1,1039,0.4507547447641354,0.3817727657359991,0.9088647572057588,0.19273014165573588,0.4798947751775893,0.0689819790281363,0.010449698271644992,0.8260351468906829,8.01298595342498e-07,0.20447679747428474,0.621557548117803,0.826035146890683,-1.1102230246251565e-16
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,XZY,Interferon_Alpha,patient_balanced_mean,1,1039,0.21970654106967302,0.06375589413127342,1.1211513034712342,-2.545691854039656,0.17674204255468476,0.1559506469383996,2.593962818228456,1.2569802452752472,0.8810283445159097,0.07195113610289229,0.3040007646564454,1.2569802452752474,-2.220446049250313e-16
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,XZY,MYC_Targets,patient_balanced_mean,1,1039,0.7736181982686317,0.6855723575225493,0.40472203695656417,0.3974481111978475,0.5808540187468625,0.08804584074608235,0.2010370054945564,0.1637999271982705,0.053100886547713236,0.006188253670094722,0.10451078698046247,0.1637999271982704,8.326672684688674e-17
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,XZY,Mitotic_Spindle,patient_balanced_mean,1,1039,0.6371807206676247,0.43245732100613005,0.9500155678183726,-0.04260348343748799,0.5983355451315974,0.2047233996614946,0.4486027542280015,0.9025295790972648,0.3881686791305801,0.1227688182158063,0.3915920817508787,0.9025295790972651,-2.220446049250313e-16
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,XZY,Oxidative_Phosphorylation,patient_balanced_mean,1,1039,0.7861679995737321,0.7549472792129486,0.3944574235568539,0.6139640309814474,0.6155124339295702,0.031220720360783494,0.004096092572316246,0.15559665899911124,0.0012933121690572257,0.0239222291515917,0.1303811176784623,0.15559665899911124,0.0
