analysis_id,analysis_class,evidence_status,attempt_id,arm,analysis_card_id,task,seed,fold,split,n,n_positive,n_negative,auc,auprc,brier,calibration_intercept,calibration_slope,calibration_status,calibration_reason
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,MPR,61,4,test,31,15,16,0.9416666666666667,0.9561111111111109,0.12812830110897835,-1.3940673064975917,2.1755236249635588,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,MPR,61,4,validation,31,15,16,0.925,0.9150407724320766,0.1345588562773581,-1.240161551040661,2.8208197918963425,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,pCR,1,0,test,31,11,20,0.7727272727272727,0.6827061973114605,0.180442192741292,0.09173882868256047,1.077229771084261,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,pCR,1,0,validation,31,11,20,0.8727272727272727,0.8503302253302254,0.13541333195442615,0.3263720784946213,1.5415007658229631,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,pCR,1,1,test,31,11,20,0.75,0.7569978252534034,0.1692440309534605,0.05383006506873355,1.0443582339955382,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,pCR,1,1,validation,31,11,20,0.8818181818181818,0.8715534465534467,0.1259449522249862,0.5203327256725997,1.8249187439500834,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,pCR,1,2,test,31,11,20,0.9227272727272727,0.9301970756516211,0.0922999527429394,0.11769751001253169,1.7704232320013127,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,pCR,1,2,validation,31,11,20,0.8363636363636363,0.7359797065679419,0.14923116066468003,-0.19995801977433383,1.6067696730850967,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,pCR,1,3,test,31,11,20,0.9909090909090909,0.9841597796143251,0.09049289265003427,5.8989023359905755,16.396982116365567,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,pCR,1,3,validation,31,11,20,0.9045454545454547,0.8907148407148409,0.12666005034234804,0.029355191413794376,1.8825835273611013,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,pCR,1,4,test,31,11,20,0.8227272727272728,0.7871194462103552,0.1483499541400556,0.01024806440411601,1.0847075596387874,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,pCR,1,4,validation,31,11,20,0.8409090909090908,0.8596283346283347,0.1358665504507372,-0.03995006614754457,1.4069716618565598,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,pCR,2,0,test,31,11,20,0.8136363636363636,0.8340115440115441,0.13337682474924778,0.13158145823431736,1.3891381638107445,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,pCR,2,0,validation,31,11,20,0.9136363636363637,0.9215784215784217,0.11117973630292032,0.14106546300468056,2.213659589186617,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,pCR,2,1,test,31,11,20,0.8318181818181819,0.8094257594257595,0.16253835544650358,0.46765307319730914,2.6253278225310708,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,pCR,2,1,validation,31,11,20,0.9409090909090909,0.9221435130526041,0.12465913306709347,0.9944723625209443,4.780343682621054,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,pCR,2,2,test,31,11,20,0.7318181818181817,0.7049297321036452,0.18649287310386461,-0.005238820922776618,0.9354690681521071,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,pCR,2,2,validation,31,11,20,0.7181818181818181,0.6905829464652995,0.18690239598668223,0.0724197035093521,0.957517358934165,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,pCR,2,3,test,31,11,20,0.9318181818181819,0.9058441558441559,0.13300389905745075,-0.5912871807273848,2.9406669225217374,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,pCR,2,3,validation,31,11,20,0.8590909090909091,0.8695391126221166,0.15496218633291628,0.5597502055093374,2.623076447317429,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,pCR,2,4,test,31,11,20,0.7590909090909091,0.6513516786244059,0.1823055766610027,0.07470021009735928,1.2144201443478648,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,pCR,2,4,validation,31,11,20,0.75,0.7166508392792978,0.18271996247396002,-0.03699022123527172,0.9180571442161579,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,pCR,42,0,test,31,11,20,0.85,0.7628785652849825,0.17027967816719172,-0.01587813038314456,2.5645520294480164,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,pCR,42,0,validation,31,11,20,0.8681818181818183,0.8291528062580695,0.16265061685164214,1.1666541266955894,3.303906841194212,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,pCR,42,1,test,31,11,20,0.9500000000000001,0.901911976911977,0.11791447019512444,1.13548279316019,2.6764975297224805,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,pCR,42,1,validation,31,11,20,0.9454545454545455,0.9295815295815297,0.10904906414428835,0.10519756030282831,2.872069629340729,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,pCR,42,2,test,31,11,20,0.7909090909090909,0.7975786839423202,0.14471879075329072,0.10774351374584194,1.074445683464808,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,pCR,42,2,validation,31,11,20,0.85,0.8335080469769465,0.13813953085695205,-0.02024808901220534,1.2404934101413363,computed,
