pathway,slope_k,intercept_z_b,intercept_raw_b,baseline_raw_r2,calibrated_raw_r2,delta_raw_r2,baseline_pcc,calibrated_pcc,delta_pcc,baseline_raw_mae,calibrated_raw_mae,delta_raw_mae,baseline_ccc,calibrated_ccc
IL6_JAK_STAT3,0.9993012003903323,0.0017020015522382548,3.3482003815306816,-0.32629065674481916,-0.3231059567951251,0.0031846999496940587,0.5584903307397227,0.5584903307397227,0.0,1215.704886519293,1213.861586675143,-1.843299844150124,0.2935958841488223,0.293949631767213
P53_Pathway,1.0009972728383174,-0.0012570062232598253,-2.1079282494830776,-0.2763090352977946,-0.2771668087941004,-0.0008577734963057804,0.5617481612020473,0.5617481612020478,5.551115123125783e-16,1205.826915503647,1206.2595175092806,0.43260200563372564,0.31375835183990175,0.3138283176622549
DNA_Damage_Response,1.0008439632526693,0.002920879969526928,4.2951638383150295,-0.16611754532726208,-0.16046660917907762,0.00565093614818446,0.5041214406174792,0.5041214406174793,1.1102230246251565e-16,1078.323425727204,1075.267927721162,-3.055498006041944,0.34063155455636995,0.3419132434552055
Complement,0.9982113548133289,-0.003314360949755228,-5.792387348342334,-1.694794006752065,-1.7064102731811013,-0.011616266429036237,0.36128576791316236,0.3612857679131624,5.551115123125783e-17,2058.585426103899,2063.7977881251763,5.212362021277386,0.16981277518057822,0.16895572774320197
Coagulation,1.0003115931334277,-0.004301795481649234,-4.276930813265105,0.1324687726026994,0.13189951642211983,-0.0005692561805795693,0.4286053226972293,0.4286053226972295,2.220446049250313e-16,553.1261609417287,553.3891552297338,0.26299428800507485,0.39163081524400134,0.39154875821112334
Oxidative_Phosphorylation,0.9986208903848367,0.0009095963998638287,2.212278614875496,0.6128963380644099,0.6127985786051685,-9.775945924139773e-05,0.7854307111791455,0.7854307111791453,-2.220446049250313e-16,702.5372076749677,702.521587735548,-0.015619939419707407,0.7563415083360365,0.7560405176306544
Reactive_Oxygen_Species,0.9980503885129398,0.0007610018845539267,0.8626222320838397,-0.5280710591823379,-0.5290859453693377,-0.0010148861869998527,0.28059079569286816,0.28059079569286816,0.0,855.5255749528155,855.9685468002027,0.4429718473871844,0.15018355940823558,0.14985005815846358
Wound_Healing,1.0015579333512166,0.0001556134907496642,0.31134021452867655,0.336362170261597,0.336857056663072,0.0004948864014749921,0.6335773292191307,0.6335773292191306,-1.1102230246251565e-16,808.9291361452321,808.5071513760585,-0.42198476917360495,0.6027300061355724,0.6032812530751452
Fibrosis,1.0019052738186762,-0.00017369462061120536,-0.482098771990528,0.512135037285919,0.5122480666862053,0.00011302940028623532,0.7206142753278977,0.7206142753278977,0.0,1077.3604235216903,1076.7106422953718,-0.6497812263185097,0.6963613598793894,0.6968126355096695
MYC_Targets,1.0011560664935977,-0.0008381947617592748,-2.651807604773145,0.4073893825920357,0.40755942566539016,0.00017004307335444224,0.7729682828699457,0.7729682828699458,1.1102230246251565e-16,982.4016059364344,981.8376673301848,-0.5639386062496214,0.6911577269436546,0.6914655303801347
E2F_Targets,1.0019965963468447,-0.0005465730077035284,-1.1070558023922732,0.0011873488603014737,0.002949218430194356,0.0017618695698928821,0.6338882302821978,0.633888230282198,2.220446049250313e-16,1229.8409829246207,1228.207759868145,-1.6332230564755719,0.47683308128025703,0.47777117566563404
G2M_Checkpoint,1.0009966892272069,-0.00011823211713350048,-0.25449728145528494,-0.19134676819013885,-0.18998113957176144,0.0013656286183774125,0.6742574845520563,0.674257484552056,-2.220446049250313e-16,1899.2600324743275,1897.7800576816558,-1.4799747926717828,0.41899216884302687,0.4195139804065651
Mitotic_Spindle,1.0024676466185602,0.00134700576429633,2.485794553491018,-0.09960305101121492,-0.09428297979515698,0.005320071216057931,0.6354781658498121,0.635478165849812,-1.1102230246251565e-16,1540.587489113689,1536.020752094165,-4.566737019523998,0.4163733089655332,0.41815186618435957
Unfolded_Protein_Response,1.0002743927166269,-0.002302645001407464,-4.427205049218839,0.13969131721038708,0.13691627136300444,-0.00277504584738264,0.6025634370370726,0.6025634370370726,0.0,1008.6035752670011,1010.8719132357663,2.268337968765195,0.4306072283875472,0.4298850396898186
mTOR_Signaling,0.9999602105095036,-0.0002583898227216418,-0.46558363006686926,0.3904013826778301,0.39020791908867003,-0.0001934635891600589,0.6623655704256954,0.6623655704256954,0.0,735.0332123827197,735.1828460343221,0.14963365160235753,0.5919558915019593,0.5918696327396975
Interferon_Alpha,0.9989432635868102,0.0012563667091838606,2.337995261167977,-2.6751053783419865,-2.666203498189896,0.008901880152090591,0.21723214005805577,0.21723214005805594,1.6653345369377348e-16,1904.6700871651312,1902.1947579854,-2.4753291797312613,0.06091711904057747,0.060995415815571837
Angiogenesis,0.9997875345709922,-0.0007654654474210488,-1.3526443791266596,0.3150827482024734,0.31553529619283327,0.00045254799035987503,0.6370193712361416,0.6370193712361415,-1.1102230246251565e-16,1218.0562699419245,1217.5268047889174,-0.5294651530070951,0.523213857672304,0.5233257308847408
Apoptosis,0.9976313824797578,0.0037075589496795326,5.792200005197084,0.0903887225938309,0.09237996822447148,0.00199124563064057,0.4252418134504551,0.4252418134504552,1.1102230246251565e-16,767.5715575665446,766.5253823840715,-1.046175182473121,0.33625779504046155,0.3362176422971385
TNF_Signaling,0.9979891405589811,0.0010286494400253915,2.251362137034415,-0.27495764543330403,-0.2741631901262649,0.0007944553070391436,0.30415236445966204,0.30415236445966204,0.0,1355.917856850023,1355.4912856830617,-0.42657116696136654,0.2027068625892137,0.2024823780338661
ECM_Organization,1.0017135420005572,-0.00017218728117016508,-0.5457128001842253,0.5321936693862169,0.5316981589663266,-0.000495510419890377,0.7352796536234459,0.7352796536234459,0.0,1078.2276831469892,1078.395828049454,0.16814490246474634,0.7121056120538539,0.7122395508572424
