pathway,prediction_decile,n_patches,mean_true,mean_prediction,mean_residual_pred_minus_true,mae
Wound_Healing,7,104,4505.734911365479,4179.11790421167,-326.6170071538097,724.7204166613168
Wound_Healing,8,104,4576.2903384363135,4459.9963023594655,-116.29403607684812,706.5373963839405
Wound_Healing,9,104,4934.94312041933,4823.097332659724,-111.84578775960591,682.9687271960063
Wound_Healing,10,104,5393.52085652815,5495.4086180112345,101.88776148308487,569.9934752655874
Fibrosis,1,104,2522.642538398527,2164.788731274436,-357.8538071240906,1105.7254582988874
Fibrosis,2,104,3238.0501346158676,3082.775300400159,-155.27483421570838,1254.921660637539
Fibrosis,3,104,3980.7469712014063,3760.1006300867843,-220.64634111462203,1104.0725160960358
Fibrosis,4,104,4377.109124180637,4325.19062327186,-51.918500908776736,1253.9035979980108
Fibrosis,5,104,4815.463938447143,4743.311451818476,-72.15248662866765,1398.323599531979
Fibrosis,6,103,5111.454462895914,5087.215734570038,-24.238728325875147,1214.7704610745216
Fibrosis,7,104,5618.602376518545,5420.114076436303,-198.4883000822413,1009.6767287949731
Fibrosis,8,104,5993.327336635199,5838.286527346934,-155.04080928826463,901.5446124984862
Fibrosis,9,104,6596.561871981331,6350.193725330034,-246.36814665129788,804.3233920989818
Fibrosis,10,104,7094.2267449502815,7351.558673150605,257.33192820032247,727.6634585485759
MYC_Targets,1,104,2000.0797771964599,1379.001090859439,-621.0786863370207,2051.890176592543
MYC_Targets,2,104,5311.16948804556,3821.0528161806,-1490.1166718649586,1702.7071643149427
MYC_Targets,3,104,5690.093895047337,4551.614924843938,-1138.4789702034,1149.2159254191715
MYC_Targets,4,104,5790.061744748212,4900.5600674160005,-889.5016773322119,951.6118388352347
MYC_Targets,5,104,5993.769532072211,5152.267764776879,-841.501767295332,931.8172117955966
MYC_Targets,6,103,5961.4988426931195,5355.267924556416,-606.2309181367036,834.1039483880475
MYC_Targets,7,104,6193.094391511202,5555.870901630753,-637.2234898804509,767.1109014858775
MYC_Targets,8,104,6269.523590838538,5778.674997668971,-490.84859316956766,615.0140381015061
MYC_Targets,9,104,6306.542784637781,6032.2230179906055,-274.3197666471743,443.1535994999418
MYC_Targets,10,104,6518.641970005385,6454.760265360052,-63.881704645332505,375.9653159165951
E2F_Targets,1,104,1591.9595289721901,1154.6299312501828,-437.3295977220077,1240.0358952910644
E2F_Targets,2,104,3359.328890912041,2056.1090575947946,-1303.2198333172464,1781.8964288577722
E2F_Targets,3,104,3922.671723040043,2570.525581292628,-1352.1461417474156,1552.6498563467687
E2F_Targets,4,104,4391.043182529886,2950.2404362815582,-1440.802746248327,1615.7874496109139
E2F_Targets,5,104,4313.105318468145,3247.293293701308,-1065.8120247668367,1259.1833117544554
E2F_Targets,6,103,4594.922599083818,3491.4563207397805,-1103.4662783440372,1291.4101564867617
E2F_Targets,7,104,4530.913282603541,3766.3348552501598,-764.5784273533817,1170.9140595034025
E2F_Targets,8,104,4877.733471634829,4011.6250969257726,-866.1083747090556,974.382721969468
E2F_Targets,9,104,5008.993255270513,4320.403348145703,-688.5899071248107,862.7974971232468
E2F_Targets,10,104,5108.49165594959,4846.5099528026085,-261.9817031469812,549.9444635866058
G2M_Checkpoint,1,104,593.4615791464471,-20.55022327401184,-614.011802420459,1424.1158729598806
G2M_Checkpoint,2,104,2575.5957978727843,986.7075373786946,-1588.8882604940898,2389.565146537133
G2M_Checkpoint,3,104,3648.064439767262,1578.65218679741,-2069.4122529698516,2382.8760592239264
G2M_Checkpoint,4,104,3965.74568145946,2043.096355533522,-1922.6493259259378,2173.42974373118
G2M_Checkpoint,5,104,4277.734154622584,2379.811415939516,-1897.9227386830685,2051.848154978451
G2M_Checkpoint,6,103,4452.5442766809765,2663.815504142533,-1788.7287725384438,1860.288603047634
G2M_Checkpoint,7,104,4872.990369114947,2976.5926957082856,-1896.3976734066603,1939.4175450278244
G2M_Checkpoint,8,104,4925.3716961581995,3329.708009011578,-1595.6636871466208,1875.7717694549922
G2M_Checkpoint,9,104,5376.486108531491,3775.343680711818,-1601.1424278196735,1635.173814938689
G2M_Checkpoint,10,104,5530.624828911722,4409.88219791975,-1120.7426309919724,1259.7388895606155
Mitotic_Spindle,1,104,552.8742096721983,29.53561608361188,-523.3385935885864,1298.1537436187793
