pathway,internal_true_mean,internal_true_std,internal_pred_mean,internal_pred_std,internal_bias,internal_mse,internal_raw_r2,internal_pcc,internal_ccc,internal_mae,internal_patient_balanced_raw_r2,internal_patient_balanced_pcc,xzy_true_mean,xzy_true_std,xzy_pred_mean,xzy_pred_std,xzy_bias,xzy_error_variance,xzy_bias_squared,xzy_bias_share_of_mse,xzy_mse_identity_abs_error,xzy_mse,xzy_raw_r2,xzy_pcc,xzy_ccc,xzy_mae,xzy_calibrated_raw_r2,ridge_delta_raw_r2,xzy_true_mean_minus_internal_mean,xzy_pred_mean_minus_internal_pred_mean,xzy_true_std_ratio_to_internal,xzy_pred_std_ratio_to_internal,xzy_true_mean_outside_internal_patient_range,xzy_true_std_outside_internal_patient_range,xzy_pred_mean_outside_internal_patient_range,xzy_pred_std_outside_internal_patient_range,trim_1pct_raw_r2,trim_1pct_delta_raw_r2,trim_5pct_raw_r2,trim_5pct_delta_raw_r2
IL6_JAK_STAT3,2748.475282099341,1912.0965751090448,2719.865615263803,1608.9021649572933,-28.609666835537052,1091166.0028290981,0.7015502776991559,0.8377278109343187,0.825287590760194,820.5686345143691,0.388682113618754,0.6760153220199511,4842.191330278832,1225.6864054647763,3866.2657064771115,604.8799195173983,-975.9256238017209,1040065.1326989696,952430.823192778,0.47800891157468606,2.3283064365386963e-10,1992495.9558917477,-0.32629065674481916,0.5584903307397227,0.2935958841488223,1215.704886519293,-0.32629065674481916,0.0,2093.716048179491,1146.4000912133083,0.6410169974782141,0.3759581736490822,True,False,False,True,-0.34041190401500576,-0.014121247270186599,-0.33013204483489256,-0.0038413880900733943
P53_Pathway,1012.9612236364206,1706.4155279696406,1078.6112818542751,1308.1391676078065,65.65005821785421,1139586.3720816297,0.6086388980880546,0.7812383075815348,0.7537303127900837,821.3193941481522,0.3124162056282784,0.5894732123411158,3319.9586981255643,1258.9795780602794,2352.855269111957,653.9146949760046,-967.1034290136072,1087698.5291711083,935289.0424098772,0.46233059241137076,4.656612873077393e-10,2022987.571580985,-0.2763090352977946,0.5617481612020473,0.31375835183990175,1205.826915503647,-0.2763090352977946,0.0,2306.9974744891438,1274.243987257682,0.7377919137657298,0.49988159606276306,True,False,False,True,-0.27098834958602946,0.0053206857117651385,-0.20391975748690538,0.07238927781088922
DNA_Damage_Response,1276.0646378340073,1495.3005307167907,1243.997719273801,1134.9143644855237,-32.066918560206545,951415.9488507428,0.5744863929978208,0.7582524823080494,0.7300934323817471,733.2326058154285,0.3145159734246494,0.5404851336466907,3295.01252425907,1198.4483426635968,2526.193712741827,716.0662442331146,-768.8188115172434,1083787.112293932,591082.3649427866,0.35291249436223726,0.0,1674869.4772367184,-0.16611754532726208,0.5041214406174792,0.34063155455636995,1078.323425727204,-0.16611754532726208,0.0,2018.9478864250625,1282.1959934680258,0.801476571461595,0.6309429738848357,True,False,False,False,-0.1304534336860903,0.03566411164117178,-0.02408566780850485,0.14203187751875723
Complement,-1639.997447428083,1803.466631008741,-1603.83413144647,1446.0255853496499,36.16331598161281,1214298.8112855365,0.6266558525997149,0.7919314329880435,0.7728069977122446,854.5988250330315,0.5153180154126623,0.7203266956216753,721.9592647472888,1426.292628170508,-1117.9403917535192,1088.0470464945035,-1839.899656500808,2096817.4316104813,3385230.7459917916,0.6175120386250267,0.0,5482048.1776022725,-1.694794006752065,0.36128576791316236,0.16981277518057822,2058.585426103899,-1.694794006752065,0.0,2361.9567121753716,485.89373969295093,0.7908616681045734,0.752439692297293,True,False,False,False,-1.6116774713935884,0.08311653535847663,-1.3843451034118996,0.3104489033401654
Coagulation,-664.8559135983955,995.6330688287507,-619.8558583419851,741.7074133396629,45.00005525641049,450341.4514166907,0.545699413349487,0.7401119714033703,0.7082222682318765,527.4128316928708,0.4561566690261914,0.6786877452374829,-656.6309295639961,758.2149069015802,-686.5447395137302,493.9688104066,-29.913809949734155,497840.05686682876,894.8360257088141,0.0017942117915973135,0.0,498734.8928925376,0.1324687726026994,0.4286053226972293,0.39163081524400134,553.1261609417287,0.1324687726026994,0.0,8.224984034399426,-66.68888117174504,0.7615405018573098,0.6659887733660663,False,False,False,False,0.15353298155652106,0.02106420895382166,0.21284831810041505,0.08037954549771564
Oxidative_Phosphorylation,2962.0693180441854,2402.644999481147,2948.882245356666,2165.8153742899367,-13.187072687519501,1150145.8141136644,0.8007613044699531,0.8948933742913449,0.8900815997606213,813.063891831442,0.6741888311881432,0.8253755627286888,5009.344848214257,1544.1068022398806,4916.890616437347,1181.1447540750294,-92.45423177691085,914410.2437080469,8547.78497345875,0.009261293263432266,1.1641532182693481e-10,922958.0286815055,0.6128963380644099,0.7854307111791455,0.7563415083360365,702.5372076749677,0.6128963380644099,0.0,2047.2755301700713,1968.0083710806807,0.642669558995745,0.5453580060868615,False,False,False,True,0.6329079836969136,0.020011645632503683,0.6382374923519296,0.025341154287519707
Reactive_Oxygen_Species,2830.927771594817,1143.4431448639511,2831.865514588637,783.5955275029731,0.9377429938198482,750086.206100501,0.42630372683020223,0.6536846303362117,0.6096320375189684,683.3648557361774,0.20560152978368174,0.4661003534943416,4248.163002825186,827.9274926784681,3624.98435829681,398.40951586634793,-623.1786445283757,659085.9753373893,388351.6229962236,0.370763493323191,1.1641532182693481e-10,1047437.5983336128,-0.5280710591823379,0.28059079569286816,0.15018355940823558,855.5255749528155,-0.5280710591823379,0.0,1417.2352312303688,793.1188437081732,0.7240652903446076,0.5084377103783766,True,False,False,False,-0.5773071382083197,-0.049236079025981816,-0.4367710776895486,0.09129998149278928
Wound_Healing,2248.876692206863,2055.5208017885816,2267.818654018536,1782.6391059568018,18.941961811672687,939435.1927819368,0.7776571986331533,0.8820206647165428,0.8731063446288209,759.783374939107,0.6399840691584507,0.7985203083961778,4030.7955382730142,1254.8866419612198,3782.5446590720207,997.1099622142156,-248.25087920099347,983428.858293511,61628.49902406625,0.05897140342827928,1.1641532182693481e-10,1045057.3573175771,0.336362170261597,0.6335773292191307,0.6027300061355724,808.9291361452321,0.336362170261597,0.0,1781.9188460661512,1514.7260050534846,0.6104957151828861,0.5593448269379423,False,False,False,False,0.3735927814343276,0.03723061117273063,0.4498392170564649,0.11347704679486792
Fibrosis,2515.368505657886,2871.5753185338517,2557.152649575455,2515.046632623002,41.78414391756913,1593447.0749121234,0.8067599151309804,0.8986043421324138,0.8906587084249855,965.4756213477989,0.7024304068795844,0.8375638971795233,4934.64854429152,1926.7779759017271,4812.089002433817,1495.8087618373627,-122.5595418577028,1796164.840160851,15020.841300370004,0.00829337458556516,0.0,1811185.6814612208,0.512135037285919,0.7206142753278977,0.6963613598793894,1077.3604235216903,0.512135037285919,0.0,2419.280038633634,2254.9363528583617,0.6709829143139061,0.5947439472632553,False,False,False,False,0.5434162054131688,0.03128116812724979,0.6026480636983411,0.09051302641242209
MYC_Targets,2121.916594830779,3236.7645802648367,2216.631305884513,2840.5527129195943,94.71471105373361,1987343.3274862936,0.810307275149678,0.9009490479847186,0.8928907380661187,1071.3644070707282,0.6168172317838727,0.8149540268402449,5603.102990283033,1649.51661895435,4897.689397775693,1415.0600871545778,-705.4135925073408,1114828.900625139,497608.3364941127,0.30860632900238016,0.0,1612437.2371192516,0.4073893825920357,0.7729682828699457,0.6911577269436546,982.4016059364344,0.4073893825920357,0.0,3481.186395452254,2681.0580918911796,0.5096189661156587,0.49816364284264314,True,False,False,True,0.4481700578308456,0.040780675238809905,0.5082402358187668,0.10085085322673104
