grid_size_px,cell_x,cell_y,pathway,n_patches,bias,mae,raw_r2
1024,13,6,Angiogenesis,25,291.0761764620466,1178.8269863327425,0.5529860923689871
1024,13,6,Apoptosis,25,-526.0661514215919,674.656659835686,-0.8545059103136621
1024,13,6,TNF_Signaling,25,-1818.6968567628085,1818.6968567628085,-9.770343408819617
1024,13,6,ECM_Organization,25,149.79961098819697,948.7932346488387,0.5080915581323615
1024,13,7,tls,25,57.871355453097806,991.0078500497324,-0.14556824879043018
1024,13,7,tgfb,25,-608.2727069916261,863.6889394523973,-1.0456170446559931
1024,13,7,emt,25,451.94820517941554,800.0876004063099,-0.1502276345183593
1024,13,7,hypoxia,25,-900.7454758288658,1110.3415332365478,-1.0395476415252962
1024,13,7,mhc,25,145.01555233274783,212.7946534253777,-1002.4502086011186
1024,13,7,icp,25,-1603.1980767000396,1911.3987506227581,-0.6719806439090485
1024,13,7,ifng,25,-818.2145411627663,1110.1150105191311,-0.1220475472275595
1024,13,7,toxic,25,-715.3359341438644,1477.0849700577426,-0.37185347941200275
1024,13,7,Glycolysis,25,-1145.1040853319473,1145.1040853319473,-7.69152608696862
1024,13,7,Inflammatory_Response,25,-2494.2589915067474,2494.2589915067474,-2.2873247014483002
1024,13,7,IL6_JAK_STAT3,25,-1721.9039265079273,1726.2840221111348,-8.112492665852931
1024,13,7,P53_Pathway,25,-1171.1396481387264,1219.4057129316286,-2.8961931595491723
1024,13,7,DNA_Damage_Response,25,-1244.9671463509612,1263.4572211920718,-2.5580597966719765
1024,13,7,Complement,25,-1948.353808584143,1948.353808584143,-1.433487584878455
1024,13,7,Coagulation,25,-261.37011497565777,514.8202973862536,-0.5169850032917198
1024,13,7,Oxidative_Phosphorylation,25,-152.5325268870416,368.7742181152877,-0.630150842715802
1024,13,7,Reactive_Oxygen_Species,25,-631.8038725193187,681.476233033972,-2.276672679164428
1024,13,7,Wound_Healing,25,-529.4066727378574,768.7497489123582,0.12657631132680158
1024,13,7,Fibrosis,25,-492.53227237287615,918.9796897372757,0.3983011358035635
1024,13,7,MYC_Targets,25,-871.1465435897193,941.14257881419,-5.017261886852253
1024,13,7,E2F_Targets,25,-1568.9021370122462,1590.1345485754623,-3.6293488185442735
1024,13,7,G2M_Checkpoint,25,-1651.8202123218662,1670.5575933217715,-1.563752708953058
1024,13,7,Mitotic_Spindle,25,-1258.6106945228332,1367.7470308706788,-0.5944085524954743
1024,13,7,Unfolded_Protein_Response,25,-988.391180833332,993.1416971591956,-2.5872929580498325
1024,13,7,mTOR_Signaling,25,-107.52606268021124,462.9502441539066,-0.14692436790896557
1024,13,7,Interferon_Alpha,25,-1737.972489737758,1737.972489737758,-8.58579092745916
1024,13,7,Angiogenesis,25,739.4228419325419,1016.3322958248464,0.4969033847654384
1024,13,7,Apoptosis,25,-808.6234608006375,884.2143218402956,-1.4253484843332518
1024,13,7,TNF_Signaling,25,-2317.9074853905536,2354.683896929545,-4.854423883188171
1024,13,7,ECM_Organization,25,-373.1746869078989,982.5588347381973,0.25115443503282897
1024,13,8,tls,13,-150.86995889718912,954.5608804973829,-0.017400744666995482
1024,13,8,tgfb,13,-692.1155458801362,699.730411900455,-0.8493611845351747
1024,13,8,emt,13,335.4476693956095,744.2993983496265,-0.7459148383812302
1024,13,8,hypoxia,13,-93.63543145507835,634.038746292716,0.5095874086231511
1024,13,8,mhc,13,59.32895037229397,242.97400589323914,-879.2084793141021
1024,13,8,icp,13,-1951.6064035672587,2103.311699983617,-1.6488801264521546
1024,13,8,ifng,13,429.889317089682,1299.9277857955994,-0.1404584049771831
1024,13,8,toxic,13,115.86712122733886,1353.9652850183988,-0.2967789213802874
1024,13,8,Glycolysis,13,-768.1577010011522,774.2533628267998,-5.039973205138185
1024,13,8,Inflammatory_Response,13,-2750.6007884552896,2750.6007884552896,-3.3793291012586693
